customer_name, delivery, pickup, facebook, app, website, breakfast, lunch, dinner, total
,0,,11,296.60,0,,11,296.60,0,,2,60.00,9,236.60,0,,11,296.60
,0,,1,0.00,0,,1,0.00,0,,0,,1,0.00,0,,1,0.00
,0,,2,32.10,0,,2,32.10,0,,1,10.70,1,21.40,0,,2,32.10
,0,,2,21.40,0,,2,21.40,0,,2,21.40,0,,0,,2,21.40
,6,86.65,7,155.19,0,,13,241.84,0,,8,155.65,5,86.19,0,,13,241.84
,0,,4,54.45,0,,4,54.45,0,,0,,4,54.45,0,,4,54.45
,6,55.10,32,376.71,0,,38,431.81,0,,24,293.20,13,127.91,1,10.70,38,431.81
,1,19.50,34,1445.63,0,,35,1465.13,0,,16,389.00,17,1049.13,2,27.00,35,1465.13
,0,,4,46.50,0,,4,46.50,0,,3,36.00,1,10.50,0,,4,46.50
,0,,29,2123.73,0,,29,2123.73,0,,2,56.23,10,844.98,17,1222.52,29,2123.73
